#c_date	cloud
97554897	0
97560567	0
97566238	0.125
97571908	0.125
97641248	0
97646955	0.125
97652661	0.125
97658368	0.25
97727598	0
97733341	0.125
97739085	0.125
97744828	0.125
97813947	0.125
97819727	0.125
97825507	0
97831287	0
97900295	0.125
97906112	0.125
97911928	0
97917745	0
97986641	0
97992495	0
97998350	0
98004204	0
98072987	0
98078879	0
98084770	0
98090662	0
98159331	0
98165260	0
98171190	0
98177119	0
98245674	0
98251641	0
98257609	0
98263576	0
98332017	0
98338022	0
98344027	0
98350032	0
98418358	0
98424401	0
98430445	0.125
98436488	0.375
98504698	0
98510780	0
98516861	0
98522943	0
98591037	0
98597157	0
98603278	0
98609398	0
98677375	0
98683534	0
98689693	0
98695852	0
98763713	0.125
98769911	0.125
98776108	0
98782306	0
98850050	0.125
98856286	0.125
98862523	0
98868759	0
98936385	0.25
98942661	0.25
98948936	0.25
98955212	0.25
99022720	0.375
99029035	0.375
99035349	0.375
99041664	0.5
99109055	0.125
99115408	0
99121762	0
99128115	0
99195388	0
99201781	0
99208173	0
99214566	0
99281721	0.25
99288153	0.125
99294584	0.125
99301016	0.125
99368054	0
99374525	0
99380995	0
99387466	0
99454385	0
99460895	0
99467405	0
99473915	0
99540717	0
99547266	0
99553814	0
99560363	0
99627047	0
99633635	0
99640223	0
99646811	0
99713377	0
99720004	0
99726632	0
99733259	0
99799707	0
99806373	0
99813039	0
99819705	0
99886036	0
99892741	0
99899447	0
99906152	0
99972365	0
99979109	0
99985853	0
99992597	0
100058693	0
100065476	0
100072259	0
100079042	0
100145022	0.125
100151844	0.25
100158665	0.5
100165487	0.125
100231349	0
100238210	0
100245070	0
100251931	0
100317677	0
100324576	0
100331475	0
100338374	0
100404004	0
100410942	0
100417879	0
100424817	0
100490331	0
100497307	0
100504284	0
100511260	0
100576658	0.125
100583673	0.25
100590687	0.375
100597702	0.75
100662985	1
100670038	1
100677091	1
100684144	1
100749311	0
100756402	0
100763494	0
100770585	0
100835637	0
100842766	0
100849896	0
100857025	0
100921964	0
100929131	0
100936298	0
100943465	0
101008290	0
101015495	0
101022700	0
101029905	0
101094616	0
101101859	0
101109101	0
101116344	0
101180943	0
101188223	0
101195503	0
101202783	0
101267269	0
101274587	0
101281904	0
101289222	0
101353595	0
101360950	0
101368305	0
101375660	0
101439922	0
101447314	0
101454705	0
101462097	0
101526248	0
101533677	0
101541106	0
101548535	0
101612575	0
101620041	0
101627506	0
101634972	0
101698902	0.25
101706404	0.25
101713906	0
101721408	0
101785229	0.25
101792768	0.125
101800306	0.125
101807845	0.125
101871557	0
101879132	0
101886706	0
101894281	0.125
101957884	0
101965495	0
101973105	0
101980716	0
102044212	0
102051859	0
102059505	0
102067152	0
102130540	0
102138222	0
102145905	0
102153587	0
102216869	0
102224587	0
102232304	0
102240022	0
102303198	0.375
102310951	0.5
102318704	0.625
102326457	0.625
102389527	1
102397315	1
102405103	1
102412891	1
102475857	0
102483680	0.25
102491503	0.375
102499326	0.375
102562187	0
102570045	0
102577902	0.125
102585760	0.125
102648517	0
102656409	0
102664302	0
102672194	0
102734848	0
102742774	0
102750701	0
102758627	0
102821180	0
102829140	0
102837101	0
102845061	0
102907512	0
102915506	0
102923500	0
102931494	0
102993845	0
103001873	0
103009900	0
103017928	0
103080178	0
103088239	0
103096300	0
103104361	0
103166512	0
103174606	0
103182700	0
103190794	0
103252846	0
103260973	0
103269100	0
103277227	0
103339181	0
103347341	0.375
103355500	0.625
103363660	0.125
103425517	0
103433709	0
103441900	0
103450092	0
103511854	0
103520078	0
103528301	0
103536525	0
103598191	0
103606447	0
103614702	0
103622958	0
103684529	0
103692816	0
103701103	0
103709390	0
103770868	0.5
103779186	0.5
103787505	0.125
103795823	0.125
103857207	0
103865556	0
103873906	0
103882255	0
103943548	0
103951928	0
103960308	0
103968688	0
104029889	0.75
104038299	0.5
104046710	0.125
104055120	0.125
104116231	0
104124672	0
104133112	0
104141553	0.125
104202574	0.875
104211044	0.875
104219515	0.875
104227985	0.875
104288918	0.875
104297418	0.875
104305917	0.875
104314417	0.875
104375262	0.875
104383791	0.875
104392321	0.875
104400850	0.875
104461608	0.75
104470166	0
104478724	0
104487282	0
104547955	0
104556542	0
104565128	0
104573715	0
104634302	0
104642917	0
104651532	0
104660147	0
104720651	0.75
104729294	0.125
104737936	0
104746579	0
104807000	0.5
104815671	0.375
104824341	0.25
104833012	0.375
104893351	0.625
104902049	0.75
104910746	0.5
104919444	0.25
104979703	0.125
104988427	0.125
104997152	0
105005876	0
105066055	0
105074806	0
105083558	0.125
105092309	0.125
105152409	0.25
105161186	0.625
105169964	0.875
105178741	1
105238764	0.875
105247567	0.875
105256371	0.875
105265174	0.875
105325120	0.125
105333949	0.125
105342777	0.125
105351606	0.125
105411477	0.125
105420331	0
105429184	0
105438038	0
105497836	0.125
105506714	0.125
105515593	0
105524471	0
105584195	0.625
105593098	0.5
105602000	0.5
105610903	0.375
105670556	0
105679482	0
105688409	0
105697335	0
105756917	0
105765867	0
105774817	0
105783767	0
105843280	0.25
105852253	0.125
105861226	0
105870199	0
105929644	0.375
105938640	0.375
105947635	0.125
105956631	0
106016010	0.125
106025028	0.125
106034045	0.125
106043063	0.125
106102376	0.125
106111416	0.125
106120455	0
106129495	0
106188744	0.5
106197805	0.375
106206866	0.125
106215927	0
106275113	0
106284195	0
106293277	0
106302359	0
106361484	0
106370586	0
106379688	0
106388790	0
106447855	0.125
106456977	0
106466100	0
106475222	0.125
106534228	0.125
106543370	0
106552511	0
106561653	0.125
106620602	0.125
106629763	0
106638923	0
106648084	0
106706977	0.125
106716156	0
106725336	0
106734515	0
106793354	0
106802551	0
106811749	0
106820946	0
106879732	1
106888947	1
106898161	1
106907376	1
106966111	0
106975343	0
106984574	0.75
106993806	0.875
107052492	1
107061740	0.5
107070988	1
107080236	0.375
107138873	1
107148137	1
107157402	1
107166666	1
107225256	0.875
107234536	0.875
107243815	0.875
107253095	0.875
107311641	0.5
107320935	0.375
107330230	0.25
107339524	0
107398026	0.125
107407335	0.25
107416644	0.75
107425953	0.5
107484413	0
107493736	0
107503058	0
107512381	0
107570801	0
107580137	0
107589473	0.125
107598809	0.125
107657190	0.125
107666539	0.375
107675887	0.625
107685236	0.875
107743581	0.125
107752942	0.375
107762302	0.5
107771663	0.5
107829973	0.125
107839345	0.375
107848718	0.75
107858090	0.75
107916366	0.875
107925749	0.125
107935133	0
107944516	0
108002760	0.5
108012154	0.375
108021547	0.25
108030941	0.125
108089156	0.125
108098559	0
108107963	0.125
108117366	0.25
108175552	1
108184965	1
108194378	1
108203791	1
108261950	1
108271371	0.75
108280793	0.625
108290214	0
108348349	0
108357778	0
108367208	0
108376637	0
108434749	0
108444186	0
108453623	0
108463060	0.125
108521151	0.875
108530595	0.375
108540038	0
108549482	0
108607553	0.375
108617003	0.375
108626453	1
108635903	0.125
108693957	0.625
108703412	0.875
108712868	1
108722323	1
108780362	0.75
108789822	1
108799282	1
108808742	1
108866767	0.75
108876232	1
108885696	1
108895161	1
108953174	0.875
108962642	0.5
108972111	0.375
108981579	0.875
109039582	0.375
109049053	0.125
109058525	0
109067996	0
109125991	0
109135465	0
109144938	0
109154412	0
109212401	0
109221877	0
109231352	0
109240828	0.125
109298811	0.375
109308288	0.5
109317765	0.625
109327242	0.625
109385223	0.875
109394700	0.875
109404178	1
109413655	1
109471636	0.25
109481113	0.5
109490591	0.5
109500068	0.375
109558049	0.125
109567526	0.5
109577002	0.75
109586479	1
109644464	0.25
109653939	0.25
109663415	0.125
109672890	0.125
109730879	0.125
109740352	0.125
109749826	0.125
109759299	0
109817295	0.125
109826766	0.25
