#s_date	seeing
23444700	0.578583
23445000	0.583051
23445300	0.528563
23445600	0.531379
23445900	0.609583
23446200	0.638744
23446500	0.724369
23446800	0.810561
23447100	0.768546
23447400	0.881719
23447700	1.12021
23448000	1.13558
23448300	0.975895
23448600	0.84875
23448900	0.904945
23449200	1.02344
23449500	0.923749
23449800	0.976975
23450100	1.00719
23450400	1.00056
23450700	1.00419
23451000	1.10637
23451300	1.13105
23451600	1.12307
23451900	1.06476
23452200	0.970351
23452500	0.878927
23452800	0.834204
23453100	0.878178
23453400	0.991916
23453700	1.13922
23454000	1.05705
23454300	1.05819
23454600	1.13082
23454900	1.2026
23455200	1.15184
23455500	1.14089
23455800	1.25304
23456100	1.17904
23456400	1.24027
23456700	1.37659
23457000	1.42613
23457300	1.38802
23457600	1.41098
23457900	1.36213
23458200	1.25883
23458500	1.10381
23458800	1.04661
23459100	0.970708
23459400	0.838877
23459700	0.778735
23460000	0.828415
23460300	0.83965
23460600	0.846398
23460900	0.789827
23461200	0.781404
23461500	0.776096
23461800	0.725362
23462100	0.630576
23462400	0.666386
23462700	0.612168
23463000	0.687503
23463300	0.660284
23463600	0.717154
23463900	0.721153
23464200	0.815458
23464500	0.888169
23464800	0.955341
23465100	0.867386
23465400	0.919572
23465700	0.932037
23466000	0.974669
23466300	0.888559
23466600	0.844051
23466900	0.868084
23467200	0.674083
23467500	0.685093
23467800	0.699046
23468100	0.660939
23468400	0.659131
23468700	0.643586
23469000	0.589063
23469300	0.679314
23469600	0.725655
23469900	0.815238
23470200	0.811652
23470500	0.701446
23470800	0.761326
23471100	0.811002
23471400	0.694811
23471700	0.641333
23472000	0.749709
23472300	0.719533
23472600	0.713606
23472900	0.671876
23473200	0.633325
23473500	0.631154
23473800	0.61872
23474100	0.636731
23474400	0.681111
23474700	0.725174
23475000	0.717171
23475300	0.699359
23475600	0.674051
23475900	0.657923
23476200	0.644313
23476500	0.689223
23476800	0.833817
23477100	0.679483
23477400	0.622827
23477700	0.667453
23478000	0.694745
23478300	0.675042
23478600	0.664211
23478900	0.611764
23479200	0.658882
23479500	0.64652
23479800	0.684543
23480100	0.645171
23480400	0.685197
23480700	0.616666
23481000	0.540193
23481300	0.523934
23481600	0.619606
23481900	0.593018
23482200	0.590987
23482500	0.650057
23482800	0.758301
23483100	0.819156
23483400	0.846686
23483700	0.772817
23484000	0.763997
23484300	0.795664
23484600	0.824713
23484900	0.850036
23485200	0.764114
23485500	0.825192
23485800	0.733889
23486100	0.666523
23486400	0.483128
23486700	0.679981
23487000	0.707073
23487300	0.661544
23487600	0.660964
23487900	0.717718
23488200	0.673786
23488500	0.683969
23488800	0.714639
23489100	0.685711
23489400	0.73481
23489700	0.848569
23490000	0.858207
23490300	0.817867
23490600	0.820852
23490900	0.658131
23491200	0.579913
23491500	0.562548
23491800	0.60643
23492100	0.630583
23492400	0.574001
23492700	0.470262
23493000	0.465153
23493300	0.498979
23493600	0.502731
23493900	0.527778
23494200	0.473653
23494500	0.48143
23494800	0.5732
23495100	0.667732
23495400	0.673932
23495700	0.730766
23496000	0.729658
23496300	0.703646
23496600	0.637212
23496900	0.662281
23497200	0.630325
23497500	0.595666
23497800	0.570434
23498100	0.637093
23498400	0.627128
23498700	0.705065
23499000	0.824667
23499300	0.797156
23499600	0.687544
23499900	0.602099
23500200	0.59885
23500500	0.619469
23500800	0.57464
23501100	0.556226
23501400	0.536764
23501700	0.556989
23502000	0.512487
23502300	0.480546
23502600	0.514595
23502900	0.512043
23503200	0.59873
23503500	0.635649
23503800	0.638092
23504100	0.523835
23504400	0.521734
23504700	0.472874
23505000	0.447866
23505300	0.482351
